일자,충전방식,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
2022-01-28,급속,4640,3280,2080,1400,2680,3120,5720,10000,16240,15880,18000,20360,22080,21440,22560,23120,23280,21440,19960,17760,15120,11720,9160,7240
2022-01-28,완속,686,679,364,238,168,161,294,420,945,1036,1057,924,1344,1253,1428,1869,2541,3542,3703,3339,2562,2674,2324,2037
2022-01-29,급속,3720,3240,2520,2040,2800,2800,5360,9200,12720,16200,18800,20360,21840,20040,21720,21680,21120,19480,16320,12600,11280,9320,7080,5280
2022-01-29,완속,875,378,378,238,133,147,182,392,826,1218,1484,1344,1778,1848,1666,1911,2373,2653,2618,2478,2338,2345,2317,2114
2022-01-30,급속,4000,3320,1920,1600,1600,2520,3880,7600,9960,13240,17680,18720,20160,19880,22040,21560,20880,17400,15000,11600,11240,7640,6920,5480
2022-01-30,완속,840,826,364,203,84,77,266,315,763,1106,1211,1582,1736,1575,1708,2142,2471,2457,2639,2121,2359,2275,1652,1610
2022-01-31,급속,3360,2600,1720,1360,1720,2000,3840,6560,8840,13720,16240,18280,18760,18200,19560,20560,18640,17520,13720,11680,9560,8800,6280,4560
2022-01-31,완속,672,651,392,105,91,56,189,364,644,882,1162,1316,1645,1456,1393,1708,1939,2219,2219,2268,2275,2051,2009,1589
2022-02-01,급속,2480,1880,1200,1280,1080,1880,3000,5680,8240,8640,10560,15000,15280,15000,15200,17240,17360,14320,11720,9200,8400,7640,5200,3760
2022-02-01,완속,553,553,189,154,147,77,210,287,651,763,952,1302,1533,1456,1463,1701,2142,2135,1946,1995,1946,2107,2072,1477
2022-02-02,급속,2960,2360,1280,1360,920,1360,2800,5080,8600,11840,14080,17920,18720,18840,17920,19400,18680,17560,14720,11760,10120,7280,6440,4240
2022-02-02,완속,686,665,252,126,126,35,140,294,469,756,1106,1323,1421,1540,1617,1911,2170,2716,2660,2289,2170,2142,1778,1729
2022-02-03,급속,3200,2360,1760,1280,1880,2720,4280,9120,13440,15000,16520,19320,22640,19440,20040,21120,22560,20520,18760,14920,12680,9440,8040,6280
2022-02-03,완속,525,511,203,119,49,84,210,371,833,910,987,1407,1302,1239,1393,1904,2303,3024,3829,3654,2562,2513,2268,2240
2022-02-04,급속,3400,2400,2120,1200,2080,2960,5120,8400,13040,14480,19080,21160,23800,22600,21880,22560,22280,20200,20920,16000,14800,10640,8480,6680
2022-02-04,완속,525,518,308,259,77,77,203,455,973,973,994,1225,1232,1309,1463,2114,2457,3087,4081,3297,2821,2506,2156,2135
2022-02-05,급속,3600,3080,2400,1440,1720,2600,4000,8040,11840,14480,15960,20400,21760,21760,21240,20880,21640,18240,17000,12960,10800,10200,7360,5480
2022-02-05,완속,707,707,364,252,91,119,126,476,651,1085,1302,1442,1673,1799,1911,2037,1939,2814,2695,2366,2296,2072,2037,1491
2022-02-06,급속,2920,2240,1440,1400,1320,1640,3480,5760,9680,12600,16040,16800,18640,19480,19440,19240,18440,19960,13960,13200,10600,7920,7040,5600
2022-02-06,완속,693,686,343,133,56,112,140,322,700,1022,1274,1337,1638,1743,1960,2149,2352,2674,3010,2471,2226,2184,1561,1533
2022-02-07,급속,2560,2160,1480,1040,1920,2840,4840,9160,13520,15800,16920,20360,24120,21640,20840,21560,23040,22160,19120,15600,11760,9920,7240,6040
